# benchreport-meta: env=ci
# benchreport-meta: label=CI — GitHub-hosted runner (ubuntu-latest)
# benchreport-meta: tier=secondary
# benchreport-meta: machine=shared ubuntu-latest runner (noisy)
# benchreport-meta: commit=f874cc8
# benchreport-meta: date=2026-06-23T17:05:54Z
# benchreport-meta: goversion=go1.24.13
# benchreport-meta: benchtime=50ms
# benchreport-meta: count=8
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz
Hash_Put/size_10-4,9.614000000000002e-07,2%
Hash_Put/size_100-4,7.6805e-06,3%
Hash_Put/size_1000-4,9.526250000000002e-05,1%
Hash_PutInPlace/size_10-4,3.3655000000000006e-08,1%
Hash_PutInPlace/size_100-4,3.804e-08,44%
Hash_PutInPlace/size_1000-4,3.5305e-08,1%
Hash_PutInPlace/size_10000-4,3.645e-08,14%
Hash_Remove/size_10-4,8.270000000000001e-07,3%
Hash_Remove/size_100-4,7.379500000000001e-06,1%
Hash_Remove/size_1000-4,9.505e-05,1%
Hash_RemoveInPlace/size_10-4,3.4180000000000006e-08,2%
Hash_RemoveInPlace/size_100-4,3.4595e-08,10%
Hash_RemoveInPlace/size_1000-4,3.5975e-08,1%
Hash_RemoveInPlace/size_10000-4,3.5804999999999995e-08,3%
Hash_ForEach/size_10-4,1.17e-07,8%
Hash_ForEach/size_100-4,7.722e-07,7%
Hash_ForEach/size_1000-4,9.0345e-06,2%
Hash_ForEach/size_10000-4,9.190150000000001e-05,1%
Hash_Filter/size_10-4,1.7745000000000002e-07,4%
Hash_Filter/size_100-4,3.3010000000000002e-06,1%
Hash_Filter/size_1000-4,4.59245e-05,5%
ConcurrentHash_Get/size_10-4,2.1190000000000003e-08,1%
ConcurrentHash_Get/size_100-4,2.149e-08,1%
ConcurrentHash_Get/size_1000-4,2.1915e-08,1%
ConcurrentHash_Get/size_10000-4,2.2360000000000003e-08,1%
ConcurrentHashRW_Get/size_10-4,2.095e-08,1%
ConcurrentHashRW_Get/size_100-4,2.1245000000000003e-08,1%
ConcurrentHashRW_Get/size_1000-4,2.1475e-08,1%
ConcurrentHashRW_Get/size_10000-4,2.1920000000000004e-08,0%
Comparison_Get/Hash-4,8.498000000000001e-09,2%
Comparison_Get/ConcurrentHash-4,2.154e-08,0%
Comparison_Get/ConcurrentHashRW-4,2.122e-08,1%
Comparison_Get/NativeMap-4,8.3895e-09,4%
Integration_CompareImplementations/Hash_Get-4,9.2765e-09,1%
Integration_CompareImplementations/ConcurrentHash_Get-4,2.2660000000000002e-08,1%
Integration_CompareImplementations/ConcurrentHashRW_Get-4,2.1960000000000003e-08,1%
Integration_CompareImplementations/Tree_Get-4,2.445e-08,0%
Map/size_10-4,6.302e-07,1%
Map/size_100-4,5.725e-06,2%
Map/size_1000-4,7.2308e-05,2%
Map/size_10000-4,0.0006472565000000001,1%
Reduce/size_10-4,1.9069999999999998e-07,2%
Reduce/size_100-4,1.047e-06,4%
Reduce/size_1000-4,1.20285e-05,1%
Reduce/size_10000-4,0.00011391100000000001,0%
Tree_Floor/3-4,3.9585e-09,2%
Tree_Floor/10-4,6.3835000000000005e-09,1%
Tree_Floor/100-4,1.0055e-08,1%
Tree_Floor/1000-4,2.3985e-08,2%
Tree_Floor/10000-4,4.287e-08,1%
Tree_Floor/100000-4,5.2865000000000004e-08,3%
Tree_Floor/1000000-4,6.1525e-08,1%
Tree_Ceiling/3-4,3.8205e-09,2%
Tree_Ceiling/10-4,6.097e-09,0%
Tree_Ceiling/100-4,1.0105e-08,1%
Tree_Ceiling/1000-4,2.8245000000000002e-08,2%
Tree_Ceiling/10000-4,4.5345e-08,1%
Tree_Ceiling/100000-4,5.211e-08,2%
Tree_Ceiling/1000000-4,6.273e-08,0%
