# benchreport-meta: env=ci
# benchreport-meta: label=CI — GitHub-hosted runner (ubuntu-latest)
# benchreport-meta: tier=secondary
# benchreport-meta: machine=shared ubuntu-latest runner (noisy)
# benchreport-meta: commit=f874cc8
# benchreport-meta: date=2026-06-23T17:05:54Z
# benchreport-meta: goversion=go1.24.13
# benchreport-meta: benchtime=50ms
# benchreport-meta: count=8
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz
DoublyLinked_Get/size_1000-4,0,0%
DoublyLinked_Get/size_10000-4,0,0%
DoublyLinked_Push/size_10-4,24,0%
DoublyLinked_Push/size_100-4,24,0%
DoublyLinked_Push/size_1000-4,24,0%
DoublyLinked_Push/size_10000-4,24,0%
DoublyLinked_Filter/size_10-4,192,0%
DoublyLinked_Filter/size_100-4,1456,0%
DoublyLinked_Filter/size_1000-4,12304,0%
DoublyLinked_Filter/size_10000-4,169232.5,0%
DoublyLinked_ForEach/size_10-4,24,0%
DoublyLinked_ForEach/size_100-4,24,0%
DoublyLinked_ForEach/size_1000-4,24,0%
DoublyLinked_ForEach/size_10000-4,24,0%
FlatMap/size_10-4,1296,0%
FlatMap/size_100-4,11552,0%
FlatMap/size_1000-4,132481,0%
FlatMap/size_10000-4,1.384649e+06,0%
geomean,,

,build/bench.txt,
,allocs/op,CI
Map/size_10-4,9,0%
Map/size_100-4,12,0%
Map/size_1000-4,16,0%
Map/size_10000-4,23,0%
Reduce/size_10-4,2,0%
Reduce/size_100-4,2,0%
Reduce/size_1000-4,2,0%
Reduce/size_10000-4,2,0%
ConcurrentLinked_PushInPlace-4,1,0%
ConcurrentDoublyLinked_Get-4,0,0%
ConcurrentRWLinked_Get-4,0,0%
Array_Get/size_10-4,0,0%
Array_Get/size_100-4,0,0%
Array_Get/size_1000-4,0,0%
Array_Get/size_10000-4,0,0%
Array_Push/size_10-4,0,0%
Array_Push/size_100-4,0,0%
Array_Push/size_1000-4,0,0%
Array_Push/size_10000-4,0,0%
Array_Filter/size_10-4,6,0%
Array_Filter/size_100-4,9,0%
Array_Filter/size_1000-4,12,0%
Array_Filter/size_10000-4,18,0%
Array_ForEach/size_10-4,2,0%
Array_ForEach/size_100-4,2,0%
Array_ForEach/size_1000-4,2,0%
Array_ForEach/size_10000-4,2,0%
Linked_Get/size_10-4,0,0%
Linked_Get/size_100-4,0,0%
Linked_Get/size_1000-4,0,0%
Linked_Get/size_10000-4,0,0%
Linked_Push/size_10-4,1,0%
Linked_Push/size_100-4,1,0%
Linked_Push/size_1000-4,1,0%
Linked_Push/size_10000-4,1,0%
Linked_Filter/size_10-4,6,0%
Linked_Filter/size_100-4,9,0%
Linked_Filter/size_1000-4,12,0%
Linked_Filter/size_10000-4,18,0%
Linked_ForEach/size_10-4,2,0%
Linked_ForEach/size_100-4,2,0%
Linked_ForEach/size_1000-4,2,0%
Linked_ForEach/size_10000-4,2,0%
DoublyLinked_Get/size_10-4,0,0%
DoublyLinked_Get/size_100-4,0,0%
DoublyLinked_Get/size_1000-4,0,0%
DoublyLinked_Get/size_10000-4,0,0%
DoublyLinked_Push/size_10-4,1,0%
DoublyLinked_Push/size_100-4,1,0%
DoublyLinked_Push/size_1000-4,1,0%
DoublyLinked_Push/size_10000-4,1,0%
DoublyLinked_Filter/size_10-4,6,0%
DoublyLinked_Filter/size_100-4,9,0%
DoublyLinked_Filter/size_1000-4,12,0%
DoublyLinked_Filter/size_10000-4,18,0%
DoublyLinked_ForEach/size_10-4,2,0%
DoublyLinked_ForEach/size_100-4,2,0%
DoublyLinked_ForEach/size_1000-4,2,0%
DoublyLinked_ForEach/size_10000-4,2,0%
FlatMap/size_10-4,39,0%
FlatMap/size_100-4,312,0%
FlatMap/size_1000-4,3017,0%
FlatMap/size_10000-4,30024,0%
geomean,,

pkg: github.com/pickeringtech/go-collections/collections/lru
,build/bench.txt,
,sec/op,CI
LRU_Get/3_elements-4,7.372000000000001e-09,1%
LRU_Get/10_elements-4,1.193e-08,1%
LRU_Get/100_elements-4,1.2905e-08,5%
LRU_Get/1000_elements-4,1.3725000000000002e-08,3%
LRU_Get/10000_elements-4,1.5870000000000002e-08,1%
LRU_Get/100000_elements-4,2.8785000000000003e-08,2%
LRU_Get/1000000_elements-4,8.0805e-08,14%
LRU_Peek/3_elements-4,4.151500000000001e-09,0%
LRU_Peek/10_elements-4,8.048500000000001e-09,1%
LRU_Peek/100_elements-4,8.243000000000001e-09,3%
LRU_Peek/1000_elements-4,8.8545e-09,1%
LRU_Peek/10000_elements-4,1.0545000000000001e-08,1%
LRU_Peek/100000_elements-4,2.066e-08,2%
LRU_Peek/1000000_elements-4,6.0785e-08,8%
LRU_PutInPlace/3_elements-4,6.686500000000001e-08,2%
LRU_PutInPlace/10_elements-4,7.369000000000001e-08,8%
LRU_PutInPlace/100_elements-4,7.500000000000001e-08,3%
LRU_PutInPlace/1000_elements-4,9.4895e-08,7%
LRU_PutInPlace/10000_elements-4,1.0365e-07,1%
LRU_PutInPlace/100000_elements-4,1.511e-07,5%
LRU_PutInPlace/1000000_elements-4,2.3665e-07,13%
LRU_RemoveInPlace/3_elements-4,6.1485e-08,1%
LRU_RemoveInPlace/10_elements-4,7.6895e-08,3%
LRU_RemoveInPlace/100_elements-4,7.178000000000001e-08,1%
LRU_RemoveInPlace/1000_elements-4,7.6405e-08,2%
LRU_RemoveInPlace/10000_elements-4,8.063e-08,2%
LRU_RemoveInPlace/100000_elements-4,1.036e-07,6%
LRU_RemoveInPlace/1000000_elements-4,7.774e-08,6%
LRU_Put/3_elements-4,3.383e-07,2%
LRU_Put/10_elements-4,8.909e-07,2%
LRU_Put/100_elements-4,7.3630000000000005e-06,2%
LRU_Put/1000_elements-4,8.808850000000001e-05,2%
LRU_Put/10000_elements-4,0.0010232425000000001,3%
LRU_Put/100000_elements-4,0.013567793000000002,4%
LRU_Put/1000000_elements-4,0.2549356235,15%
Get_ByImplementation/LRU-4,1.4755000000000002e-08,1%
Get_ByImplementation/ConcurrentLRU-4,2.465e-08,2%
Get_ByImplementation/ConcurrentLRURW-4,3.8115e-08,10%
geomean,1.584013872084788e-07,

,build/bench.txt,
,B/op,CI
LRU_Get/3_elements-4,0,0%
LRU_Get/10_elements-4,0,0%
LRU_Get/100_elements-4,0,0%
LRU_Get/1000_elements-4,0,0%
LRU_Get/10000_elements-4,0,0%
LRU_Get/100000_elements-4,0,0%
LRU_Get/1000000_elements-4,0,0%
LRU_Peek/3_elements-4,0,0%
LRU_Peek/10_elements-4,0,0%
LRU_Peek/100_elements-4,0,0%
LRU_Peek/1000_elements-4,0,0%
LRU_Peek/10000_elements-4,0,0%
LRU_Peek/100000_elements-4,0,0%
LRU_Peek/1000000_elements-4,0,0%
LRU_PutInPlace/3_elements-4,32,0%
LRU_PutInPlace/10_elements-4,32,0%
LRU_PutInPlace/100_elements-4,32,0%
LRU_PutInPlace/1000_elements-4,32,0%
LRU_PutInPlace/10000_elements-4,33,3%
LRU_PutInPlace/100000_elements-4,42,2%
LRU_PutInPlace/1000000_elements-4,32,3%
LRU_RemoveInPlace/3_elements-4,32,0%
LRU_RemoveInPlace/10_elements-4,32,0%
LRU_RemoveInPlace/100_elements-4,32,0%
LRU_RemoveInPlace/1000_elements-4,32,0%
LRU_RemoveInPlace/10000_elements-4,32,0%
LRU_RemoveInPlace/100000_elements-4,32,0%
LRU_RemoveInPlace/1000000_elements-4,32,0%
LRU_Put/3_elements-4,432,0%
LRU_Put/10_elements-4,984,0%
LRU_Put/100_elements-4,7992,0%
LRU_Put/1000_elements-4,106600,0%
LRU_Put/10000_elements-4,911823.5,0%
LRU_Put/100000_elements-4,7.929684e+06,0%
LRU_Put/1000000_elements-4,1.0755572e+08,0%
Get_ByImplementation/LRU-4,0,0%
Get_ByImplementation/ConcurrentLRU-4,0,0%
Get_ByImplementation/ConcurrentLRURW-4,0,0%
geomean,,

,build/bench.txt,
,allocs/op,CI
LRU_Get/3_elements-4,0,0%
LRU_Get/10_elements-4,0,0%
LRU_Get/100_elements-4,0,0%
LRU_Get/1000_elements-4,0,0%
LRU_Get/10000_elements-4,0,0%
LRU_Get/100000_elements-4,0,0%
LRU_Get/1000000_elements-4,0,0%
LRU_Peek/3_elements-4,0,0%
LRU_Peek/10_elements-4,0,0%
LRU_Peek/100_elements-4,0,0%
LRU_Peek/1000_elements-4,0,0%
LRU_Peek/10000_elements-4,0,0%
LRU_Peek/100000_elements-4,0,0%
LRU_Peek/1000000_elements-4,0,0%
LRU_PutInPlace/3_elements-4,1,0%
LRU_PutInPlace/10_elements-4,1,0%
LRU_PutInPlace/100_elements-4,1,0%
LRU_PutInPlace/1000_elements-4,1,0%
LRU_PutInPlace/10000_elements-4,1,0%
LRU_PutInPlace/100000_elements-4,1,0%
LRU_PutInPlace/1000000_elements-4,1,0%
LRU_RemoveInPlace/3_elements-4,1,0%
LRU_RemoveInPlace/10_elements-4,1,0%
LRU_RemoveInPlace/100_elements-4,1,0%
LRU_RemoveInPlace/1000_elements-4,1,0%
LRU_RemoveInPlace/10000_elements-4,1,0%
LRU_RemoveInPlace/100000_elements-4,1,0%
LRU_RemoveInPlace/1000000_elements-4,1,0%
LRU_Put/3_elements-4,9,0%
LRU_Put/10_elements-4,19,0%
LRU_Put/100_elements-4,115,0%
LRU_Put/1000_elements-4,1026,0%
LRU_Put/10000_elements-4,10085,0%
LRU_Put/100000_elements-4,100536,0%
LRU_Put/1000000_elements-4,1.008208e+06,0%
Get_ByImplementation/LRU-4,0,0%
Get_ByImplementation/ConcurrentLRU-4,0,0%
Get_ByImplementation/ConcurrentLRURW-4,0,0%
geomean,,

pkg: github.com/pickeringtech/go-collections/collections/multimaps
,build/bench.txt,
,sec/op,CI
ListMultimap_PutInPlace/3-4,1.205e-07,2%
ListMultimap_PutInPlace/10-4,3.517e-07,1%
ListMultimap_PutInPlace/100-4,4.3925e-06,1%
ListMultimap_PutInPlace/1_000-4,4.9607e-05,26%
ListMultimap_PutInPlace/10_000-4,0.0005474680000000001,2%
ListMultimap_PutInPlace/100_000-4,0.0075751855000000005,4%
ListMultimap_PutInPlace/1_000_000-4,0.1836993785,8%
SetMultimap_PutInPlace/3-4,1.4010000000000002e-07,2%
SetMultimap_PutInPlace/10-4,4.5285000000000003e-07,1%
SetMultimap_PutInPlace/100-4,5.6455e-06,1%
SetMultimap_PutInPlace/1_000-4,6.0697000000000005e-05,3%
SetMultimap_PutInPlace/10_000-4,0.0006672355000000001,2%
SetMultimap_PutInPlace/100_000-4,0.0089958885,3%
SetMultimap_PutInPlace/1_000_000-4,0.17480738950000002,4%
ListMultimap_Get/3-4,2.3985000000000003e-08,1%
ListMultimap_Get/10-4,2.4425000000000002e-08,2%
ListMultimap_Get/100-4,2.894e-08,2%
ListMultimap_Get/1_000-4,2.9345000000000002e-08,1%
ListMultimap_Get/10_000-4,3.2780000000000006e-08,2%
ListMultimap_Get/100_000-4,3.7445e-08,3%
ListMultimap_Get/1_000_000-4,3.662e-08,1%
SetMultimap_ContainsEntry/3-4,1.019e-08,0%
SetMultimap_ContainsEntry/10-4,1.114e-08,1%
SetMultimap_ContainsEntry/100-4,1.4995000000000003e-08,1%
SetMultimap_ContainsEntry/1_000-4,1.6690000000000003e-08,1%
SetMultimap_ContainsEntry/10_000-4,1.6735e-08,1%
SetMultimap_ContainsEntry/100_000-4,1.9e-08,0%
SetMultimap_ContainsEntry/1_000_000-4,1.668e-08,0%
ListMultimap_Filter/3-4,1.3075e-07,1%
ListMultimap_Filter/10-4,2.5145000000000004e-07,2%
ListMultimap_Filter/100-4,2.5575000000000005e-06,2%
ListMultimap_Filter/1_000-4,4.1580000000000005e-05,1%
ListMultimap_Filter/10_000-4,0.000422237,2%
ListMultimap_Filter/100_000-4,0.0059970255,4%
ListMultimap_Filter/1_000_000-4,0.10963435700000002,6%
geomean,2.633734009754072e-06,

,build/bench.txt,
,B/op,CI
ListMultimap_PutInPlace/3-4,56,0%
ListMultimap_PutInPlace/10-4,168,0%
ListMultimap_PutInPlace/100-4,3640,0%
ListMultimap_PutInPlace/1_000-4,57072,0%
ListMultimap_PutInPlace/10_000-4,527409,0%
ListMultimap_PutInPlace/100_000-4,4.54217e+06,0%
ListMultimap_PutInPlace/1_000_000-4,6.4220096e+07,0%
SetMultimap_PutInPlace/3-4,192,0%
SetMultimap_PutInPlace/10-4,576,0%
SetMultimap_PutInPlace/100-4,6376,0%
SetMultimap_PutInPlace/1_000-4,75048,0%
SetMultimap_PutInPlace/10_000-4,698169,0%
SetMultimap_PutInPlace/100_000-4,6.547192e+06,0%
SetMultimap_PutInPlace/1_000_000-4,7.5905592e+07,0%
ListMultimap_Get/3-4,24,0%
ListMultimap_Get/10-4,24,0%
ListMultimap_Get/100-4,32,0%
ListMultimap_Get/1_000-4,32,0%
ListMultimap_Get/10_000-4,32,0%
ListMultimap_Get/100_000-4,32,0%
ListMultimap_Get/1_000_000-4,32,0%
SetMultimap_ContainsEntry/3-4,0,0%
SetMultimap_ContainsEntry/10-4,0,0%
SetMultimap_ContainsEntry/100-4,0,0%
SetMultimap_ContainsEntry/1_000-4,0,0%
SetMultimap_ContainsEntry/10_000-4,0,0%
SetMultimap_ContainsEntry/100_000-4,0,0%
SetMultimap_ContainsEntry/1_000_000-4,0,0%
ListMultimap_Filter/3-4,24,0%
ListMultimap_Filter/10-4,56,0%
ListMultimap_Filter/100-4,1472,0%
ListMultimap_Filter/1_000-4,49008,0%
ListMultimap_Filter/10_000-4,447345,0%
ListMultimap_Filter/100_000-4,3.742105e+06,0%
ListMultimap_Filter/1_000_000-4,5.6269224e+07,0%
geomean,,

,build/bench.txt,
,allocs/op,CI
ListMultimap_PutInPlace/3-4,3,0%
ListMultimap_PutInPlace/10-4,9,0%
ListMultimap_PutInPlace/100-4,83,0%
ListMultimap_PutInPlace/1_000-4,766,0%
ListMultimap_PutInPlace/10_000-4,7532,0%
ListMultimap_PutInPlace/100_000-4,75147,0%
ListMultimap_PutInPlace/1_000_000-4,752065,0%
SetMultimap_PutInPlace/3-4,2,0%
SetMultimap_PutInPlace/10-4,6,0%
SetMultimap_PutInPlace/100-4,57,0%
SetMultimap_PutInPlace/1_000-4,515,0%
SetMultimap_PutInPlace/10_000-4,5031,0%
SetMultimap_PutInPlace/100_000-4,50146,0%
SetMultimap_PutInPlace/1_000_000-4,502066,0%
ListMultimap_Get/3-4,1,0%
ListMultimap_Get/10-4,1,0%
ListMultimap_Get/100-4,1,0%
ListMultimap_Get/1_000-4,1,0%
ListMultimap_Get/10_000-4,1,0%
ListMultimap_Get/100_000-4,1,0%
ListMultimap_Get/1_000_000-4,1,0%
SetMultimap_ContainsEntry/3-4,0,0%
SetMultimap_ContainsEntry/10-4,0,0%
SetMultimap_ContainsEntry/100-4,0,0%
SetMultimap_ContainsEntry/1_000-4,0,0%
SetMultimap_ContainsEntry/10_000-4,0,0%
SetMultimap_ContainsEntry/100_000-4,0,0%
SetMultimap_ContainsEntry/1_000_000-4,0,0%
ListMultimap_Filter/3-4,2,0%
ListMultimap_Filter/10-4,5,0%
ListMultimap_Filter/100-4,42,0%
ListMultimap_Filter/1_000-4,513,0%
ListMultimap_Filter/10_000-4,5029,0%
ListMultimap_Filter/100_000-4,50144,0%
ListMultimap_Filter/1_000_000-4,502064,0%
geomean,,

pkg: github.com/pickeringtech/go-collections/collections/sets
,build/bench.txt,
,sec/op,CI
Hash_ForEach/size_10-4,1.698e-07,2%
Hash_ForEach/size_100-4,8.592000000000001e-07,7%
Hash_ForEach/size_1000-4,1.0096e-05,3%
Hash_ForEach/size_10000-4,9.71515e-05,1%
Map/size_10-4,6.2775e-07,3%
Map/size_100-4,5.723000000000001e-06,3%
Map/size_1000-4,7.24395e-05,1%
Map/size_10000-4,0.0006406595,2%
Reduce/size_10-4,1.9025e-07,3%
Reduce/size_100-4,1.0245e-06,3%
Reduce/size_1000-4,1.18595e-05,3%
Reduce/size_10000-4,0.000111684,2%
Hash_Contains/size_10-4,8.15e-09,0%
Hash_Contains/size_100-4,9.016500000000002e-09,4%
Hash_Contains/size_1000-4,9.206e-09,3%
Hash_Contains/size_10000-4,1.0805e-08,1%
Hash_Add/size_10-4,3.5785e-08,7%
Hash_Add/size_100-4,3.8695000000000003e-08,21%
Hash_Add/size_1000-4,3.792e-08,19%
Hash_Add/size_10000-4,3.7575000000000004e-08,2%
ConcurrentHash_Contains/size_10-4,2.0580000000000003e-08,1%
ConcurrentHash_Contains/size_100-4,2.0959999999999997e-08,1%
ConcurrentHash_Contains/size_1000-4,2.0919999999999998e-08,0%
ConcurrentHash_Contains/size_10000-4,2.1475e-08,1%
ConcurrentHash_Add/size_10-4,5.2715000000000006e-08,4%
ConcurrentHash_Add/size_100-4,5.277e-08,3%
ConcurrentHash_Add/size_1000-4,5.4885000000000005e-08,6%
ConcurrentHash_Add/size_10000-4,5.3915000000000003e-08,3%
ConcurrentHash_ForEach/size_10-4,2.1795000000000002e-07,4%
ConcurrentHash_ForEach/size_100-4,1.2455000000000002e-06,4%
ConcurrentHash_ForEach/size_1000-4,1.31695e-05,2%
ConcurrentHash_ForEach/size_10000-4,0.00012908500000000003,2%
ConcurrentHashRW_Contains/size_10-4,2.031e-08,1%
ConcurrentHashRW_Contains/size_100-4,2.073e-08,2%
ConcurrentHashRW_Contains/size_1000-4,2.0755000000000003e-08,0%
ConcurrentHashRW_Contains/size_10000-4,2.1200000000000005e-08,0%
ConcurrentHashRW_Add/size_10-4,7.961000000000001e-08,5%
ConcurrentHashRW_Add/size_100-4,8.355e-08,6%
ConcurrentHashRW_Add/size_1000-4,8.041e-08,1%
ConcurrentHashRW_Add/size_10000-4,8.0935e-08,1%
ConcurrentHashRW_ForEach/size_10-4,2.2225000000000002e-07,3%
ConcurrentHashRW_ForEach/size_100-4,1.2205e-06,2%
ConcurrentHashRW_ForEach/size_1000-4,1.30245e-05,3%
ConcurrentHashRW_ForEach/size_10000-4,0.000127165,1%
TreeSet_Floor/3-4,3.6795000000000004e-09,2%
TreeSet_Floor/10-4,6.5299999999999996e-09,0%
TreeSet_Floor/100-4,1.043e-08,0%
TreeSet_Floor/1000-4,2.5365000000000002e-08,1%
TreeSet_Floor/10000-4,4.4005e-08,1%
TreeSet_Floor/100000-4,5.368e-08,2%
TreeSet_Floor/1000000-4,5.979500000000001e-08,1%
TreeSet_All/3-4,2.2855000000000002e-08,1%
TreeSet_All/10-4,6.580000000000001e-08,0%
TreeSet_All/100-4,6.654e-07,1%
TreeSet_All/1000-4,6.415e-06,2%
TreeSet_All/10000-4,6.373150000000001e-05,0%
TreeSet_All/100000-4,0.0007309545000000001,1%
TreeSet_All/1000000-4,0.011108076500000001,3%
TreeSet_Range/3-4,1.1785000000000001e-07,1%
TreeSet_Range/10-4,1.9635000000000003e-07,3%
TreeSet_Range/100-4,9.209000000000002e-07,2%
TreeSet_Range/1000-4,7.4965e-06,2%
TreeSet_Range/10000-4,9.257900000000001e-05,2%
TreeSet_Range/100000-4,0.0026567550000000002,5%
TreeSet_Range/1000000-4,0.029761103500000004,3%
TreeSet_Intersection/3-4,1.837e-07,5%
TreeSet_Intersection/10-4,6.5755e-07,1%
TreeSet_Intersection/100-4,8.774000000000001e-06,1%
TreeSet_Intersection/1000-4,0.000160675,1%
TreeSet_Intersection/10000-4,0.002365096,2%
TreeSet_Intersection/100000-4,0.0310977485,2%
TreeSet_Intersection/1000000-4,0.3434849415,11%
geomean,9.245898014176498e-07,

,build/bench.txt,
,B/op,CI
Hash_ForEach/size_10-4,24,0%
Hash_ForEach/size_100-4,24,0%
Hash_ForEach/size_1000-4,24,0%
Hash_ForEach/size_10000-4,24,0%
Map/size_10-4,552,0%
Map/size_100-4,4680,0%
Map/size_1000-4,74488,0%
Map/size_10000-4,591705,0%
Reduce/size_10-4,40,0%
Reduce/size_100-4,40,0%
Reduce/size_1000-4,40,0%
Reduce/size_10000-4,40,0%
Hash_Contains/size_10-4,0,0%
Hash_Contains/size_100-4,0,0%
Hash_Contains/size_1000-4,0,0%
Hash_Contains/size_10000-4,0,0%
Hash_Add/size_10-4,0,0%
Hash_Add/size_100-4,0,0%
Hash_Add/size_1000-4,0,0%
Hash_Add/size_10000-4,0,0%
ConcurrentHash_Contains/size_10-4,0,0%
ConcurrentHash_Contains/size_100-4,0,0%
ConcurrentHash_Contains/size_1000-4,0,0%
ConcurrentHash_Contains/size_10000-4,0,0%
ConcurrentHash_Add/size_10-4,0,0%
ConcurrentHash_Add/size_100-4,0,0%
ConcurrentHash_Add/size_1000-4,0,0%
ConcurrentHash_Add/size_10000-4,0,0%
ConcurrentHash_ForEach/size_10-4,104,0%
ConcurrentHash_ForEach/size_100-4,920,0%
ConcurrentHash_ForEach/size_1000-4,8216,0%
ConcurrentHash_ForEach/size_10000-4,81944,0%
ConcurrentHashRW_Contains/size_10-4,0,0%
ConcurrentHashRW_Contains/size_100-4,0,0%
ConcurrentHashRW_Contains/size_1000-4,0,0%
ConcurrentHashRW_Contains/size_10000-4,0,0%
ConcurrentHashRW_Add/size_10-4,0,0%
ConcurrentHashRW_Add/size_100-4,0,0%
ConcurrentHashRW_Add/size_1000-4,0,0%
ConcurrentHashRW_Add/size_10000-4,0,0%
ConcurrentHashRW_ForEach/size_10-4,104,0%
ConcurrentHashRW_ForEach/size_100-4,920,0%
ConcurrentHashRW_ForEach/size_1000-4,8216,0%
ConcurrentHashRW_ForEach/size_10000-4,81944,0%
TreeSet_Floor/3-4,0,0%
TreeSet_Floor/10-4,0,0%
TreeSet_Floor/100-4,0,0%
TreeSet_Floor/1000-4,0,0%
TreeSet_Floor/10000-4,0,0%
TreeSet_Floor/100000-4,0,0%
TreeSet_Floor/1000000-4,0,0%
TreeSet_All/3-4,0,0%
TreeSet_All/10-4,0,0%
TreeSet_All/100-4,0,0%
TreeSet_All/1000-4,0,0%
TreeSet_All/10000-4,0,0%
TreeSet_All/100000-4,0,0%
TreeSet_All/1000000-4,0,0%
TreeSet_Range/3-4,136,0%
TreeSet_Range/10-4,288,0%
TreeSet_Range/100-4,2448,0%
TreeSet_Range/1000-4,20464,0%
TreeSet_Range/10000-4,300272.5,0%
TreeSet_Range/100000-4,4.764914e+06,0%
TreeSet_Range/1000000-4,4.8739568e+07,0%
TreeSet_Intersection/3-4,120,0%
TreeSet_Intersection/10-4,344,0%
TreeSet_Intersection/100-4,3224,0%
TreeSet_Intersection/1000-4,32024,0%
TreeSet_Intersection/10000-4,320024,0%
TreeSet_Intersection/100000-4,3.200024e+06,0%
TreeSet_Intersection/1000000-4,3.2000024e+07,0%
geomean,,

,build/bench.txt,
,allocs/op,CI
Hash_ForEach/size_10-4,2,0%
Hash_ForEach/size_100-4,2,0%
Hash_ForEach/size_1000-4,2,0%
Hash_ForEach/size_10000-4,2,0%
Map/size_10-4,6,0%
Map/size_100-4,12,0%
Map/size_1000-4,23,0%
Map/size_10000-4,82,0%
Reduce/size_10-4,2,0%
Reduce/size_100-4,2,0%
Reduce/size_1000-4,2,0%
Reduce/size_10000-4,2,0%
Hash_Contains/size_10-4,0,0%
Hash_Contains/size_100-4,0,0%
Hash_Contains/size_1000-4,0,0%
Hash_Contains/size_10000-4,0,0%
Hash_Add/size_10-4,0,0%
Hash_Add/size_100-4,0,0%
Hash_Add/size_1000-4,0,0%
Hash_Add/size_10000-4,0,0%
ConcurrentHash_Contains/size_10-4,0,0%
ConcurrentHash_Contains/size_100-4,0,0%
ConcurrentHash_Contains/size_1000-4,0,0%
ConcurrentHash_Contains/size_10000-4,0,0%
ConcurrentHash_Add/size_10-4,0,0%
ConcurrentHash_Add/size_100-4,0,0%
ConcurrentHash_Add/size_1000-4,0,0%
ConcurrentHash_Add/size_10000-4,0,0%
ConcurrentHash_ForEach/size_10-4,3,0%
ConcurrentHash_ForEach/size_100-4,3,0%
ConcurrentHash_ForEach/size_1000-4,3,0%
ConcurrentHash_ForEach/size_10000-4,3,0%
ConcurrentHashRW_Contains/size_10-4,0,0%
ConcurrentHashRW_Contains/size_100-4,0,0%
ConcurrentHashRW_Contains/size_1000-4,0,0%
ConcurrentHashRW_Contains/size_10000-4,0,0%
ConcurrentHashRW_Add/size_10-4,0,0%
ConcurrentHashRW_Add/size_100-4,0,0%
ConcurrentHashRW_Add/size_1000-4,0,0%
ConcurrentHashRW_Add/size_10000-4,0,0%
ConcurrentHashRW_ForEach/size_10-4,3,0%
ConcurrentHashRW_ForEach/size_100-4,3,0%
ConcurrentHashRW_ForEach/size_1000-4,3,0%
ConcurrentHashRW_ForEach/size_10000-4,3,0%
TreeSet_Floor/3-4,0,0%
TreeSet_Floor/10-4,0,0%
TreeSet_Floor/100-4,0,0%
TreeSet_Floor/1000-4,0,0%
TreeSet_Floor/10000-4,0,0%
TreeSet_Floor/100000-4,0,0%
TreeSet_Floor/1000000-4,0,0%
TreeSet_All/3-4,0,0%
TreeSet_All/10-4,0,0%
TreeSet_All/100-4,0,0%
TreeSet_All/1000-4,0,0%
TreeSet_All/10000-4,0,0%
TreeSet_All/100000-4,0,0%
TreeSet_All/1000000-4,0,0%
TreeSet_Range/3-4,4,0%
TreeSet_Range/10-4,5,0%
TreeSet_Range/100-4,8,0%
TreeSet_Range/1000-4,11,0%
TreeSet_Range/10000-4,17,0%
TreeSet_Range/100000-4,27,0%
TreeSet_Range/1000000-4,37,0%
TreeSet_Intersection/3-4,5,0%
TreeSet_Intersection/10-4,12,0%
TreeSet_Intersection/100-4,102,0%
TreeSet_Intersection/1000-4,1002,0%
TreeSet_Intersection/10000-4,10002,0%
TreeSet_Intersection/100000-4,100002,0%
TreeSet_Intersection/1000000-4,1.000002e+06,0%
geomean,,

pkg: github.com/pickeringtech/go-collections/collections/sketches
,build/bench.txt,
,sec/op,CI
MinHashAdd/3_hashes-4,6.986500000000001e-09,1%
MinHashAdd/10_hashes-4,1.3550000000000002e-08,1%
MinHashAdd/100_hashes-4,8.339500000000001e-08,0%
MinHashAdd/1_000_hashes-4,7.883e-07,0%
MinHashSignature/3_hashes-4,2.0255e-08,1%
MinHashSignature/10_hashes-4,3.0225e-08,3%
MinHashSignature/100_hashes-4,1.7020000000000003e-07,4%
MinHashSignature/1_000_hashes-4,1.4605000000000002e-06,5%
EstimatedJaccard/3_hashes-4,7.187e-09,2%
EstimatedJaccard/10_hashes-4,1.7254999999999998e-08,9%
EstimatedJaccard/100_hashes-4,1.3275000000000002e-07,2%
EstimatedJaccard/1_000_hashes-4,1.3350000000000001e-06,5%
geomean,7.242092174061532e-08,

,build/bench.txt,
,B/op,CI
MinHashAdd/3_hashes-4,0,0%
MinHashAdd/10_hashes-4,0,0%
MinHashAdd/100_hashes-4,0,0%
MinHashAdd/1_000_hashes-4,0,0%
MinHashSignature/3_hashes-4,24,0%
MinHashSignature/10_hashes-4,80,0%
MinHashSignature/100_hashes-4,896,0%
MinHashSignature/1_000_hashes-4,8192,0%
EstimatedJaccard/3_hashes-4,0,0%
EstimatedJaccard/10_hashes-4,0,0%
EstimatedJaccard/100_hashes-4,0,0%
EstimatedJaccard/1_000_hashes-4,0,0%
geomean,,

,build/bench.txt,
,allocs/op,CI
MinHashAdd/3_hashes-4,0,0%
MinHashAdd/10_hashes-4,0,0%
MinHashAdd/100_hashes-4,0,0%
MinHashAdd/1_000_hashes-4,0,0%
MinHashSignature/3_hashes-4,1,0%
MinHashSignature/10_hashes-4,1,0%
MinHashSignature/100_hashes-4,1,0%
MinHashSignature/1_000_hashes-4,1,0%
EstimatedJaccard/3_hashes-4,0,0%
EstimatedJaccard/10_hashes-4,0,0%
EstimatedJaccard/100_hashes-4,0,0%
EstimatedJaccard/1_000_hashes-4,0,0%
geomean,,

