# benchreport-meta: env=reference
# benchreport-meta: label=Reference — Framework Desktop
# benchreport-meta: tier=primary
# benchreport-meta: machine=Framework Desktop · AMD Ryzen AI MAX+ 395 · 128 GB unified memory · Arch Linux
# benchreport-meta: commit=31d657d
# benchreport-meta: date=2026-06-16T19:23:20Z
# benchreport-meta: goversion=go1.25.5
# benchreport-meta: benchtime=30ms
# benchreport-meta: count=4
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/dicts
cpu: AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          
geomean,,

,build/bench.txt,
,allocs/op,CI
Hash_Get/size_10-32,0,∞
Hash_Get/size_100-32,0,∞
Hash_Get/size_1000-32,0,∞
Hash_Get/size_10000-32,0,∞
Hash_Put/size_10-32,7,∞
Hash_Put/size_100-32,13,∞
Hash_Put/size_1000-32,26,∞
Hash_PutInPlace/size_10-32,2,∞
Hash_PutInPlace/size_100-32,2,∞
Hash_PutInPlace/size_1000-32,2,∞
Hash_PutInPlace/size_10000-32,3,∞
Hash_Remove/size_10-32,6,∞
Hash_Remove/size_100-32,12,∞
Hash_Remove/size_1000-32,25,∞
Hash_RemoveInPlace/size_10-32,0,∞
Hash_RemoveInPlace/size_100-32,0,∞
Hash_RemoveInPlace/size_1000-32,0,∞
Hash_RemoveInPlace/size_10000-32,0,∞
Hash_ForEach/size_10-32,0,∞
Hash_ForEach/size_100-32,0,∞
Hash_ForEach/size_1000-32,0,∞
Hash_ForEach/size_10000-32,0,∞
Hash_Filter/size_10-32,0,∞
Hash_Filter/size_100-32,7,∞
Hash_Filter/size_1000-32,15,∞
ConcurrentHash_Get/size_10-32,0,∞
ConcurrentHash_Get/size_100-32,0,∞
ConcurrentHash_Get/size_1000-32,0,∞
ConcurrentHash_Get/size_10000-32,0,∞
ConcurrentHashRW_Get/size_10-32,0,∞
ConcurrentHashRW_Get/size_100-32,0,∞
ConcurrentHashRW_Get/size_1000-32,0,∞
ConcurrentHashRW_Get/size_10000-32,0,∞
Comparison_Get/Hash-32,0,∞
Comparison_Get/ConcurrentHash-32,0,∞
Comparison_Get/ConcurrentHashRW-32,0,∞
Comparison_Get/NativeMap-32,0,∞
Integration_CompareImplementations/Hash_Get-32,0,∞
Integration_CompareImplementations/ConcurrentHash_Get-32,0,∞
Integration_CompareImplementations/ConcurrentHashRW_Get-32,0,∞
Integration_CompareImplementations/Tree_Get-32,0,∞
Tree_Get/size_10-32,0,∞
Tree_Get/size_100-32,0,∞
Tree_Get/size_1000-32,0,∞
Tree_Get/size_10000-32,0,∞
Tree_PutInPlace/size_10-32,2,∞
Tree_PutInPlace/size_100-32,3,∞
Tree_PutInPlace/size_1000-32,3,∞
geomean,,

pkg: github.com/pickeringtech/go-collections/collections/lists
,build/bench.txt,
,sec/op,CI
ConcurrentLinked_PushInPlace-32,3.385e-08,∞
ConcurrentDoublyLinked_Get-32,1.7435000000000002e-07,∞
ConcurrentRWLinked_Get-32,3.8765e-07,∞
Array_Get/size_10-32,1.387e-09,∞
Array_Get/size_100-32,1.4055000000000002e-09,∞
Array_Get/size_1000-32,1.412e-09,∞
Array_Get/size_10000-32,1.389e-09,∞
Array_Push/size_10-32,8.968e-08,∞
Array_Push/size_100-32,1.5625e-07,∞
Array_Push/size_1000-32,5.0525e-07,∞
Array_Filter/size_10-32,6.773e-08,∞
Array_Filter/size_100-32,2.708e-07,∞
Array_Filter/size_1000-32,2.3365000000000004e-06,∞
Array_Filter/size_10000-32,1.9687000000000003e-05,∞
Array_ForEach/size_10-32,3.0055e-08,∞
Array_ForEach/size_100-32,1.4790000000000002e-07,∞
Array_ForEach/size_1000-32,1.2005000000000002e-06,∞
Array_ForEach/size_10000-32,1.1813e-05,∞
Linked_Get/size_10-32,2.512e-09,∞
Linked_Get/size_100-32,2.4730000000000004e-08,∞
Linked_Get/size_1000-32,4.3950000000000004e-07,∞
Linked_Get/size_10000-32,4.245e-06,∞
Linked_Push/size_10-32,7.697000000000001e-08,∞
Linked_Push/size_100-32,7.613000000000001e-08,∞
Linked_Push/size_1000-32,8.7275e-08,∞
Linked_Filter/size_10-32,6.691999999999999e-08,∞
Linked_Filter/size_100-32,3.0965e-07,∞
Linked_Filter/size_1000-32,2.3185000000000003e-06,∞
Linked_Filter/size_10000-32,2.57465e-05,∞
Linked_ForEach/size_10-32,3.0770000000000004e-08,∞
Linked_ForEach/size_100-32,1.3915e-07,∞
Linked_ForEach/size_1000-32,1.6415000000000003e-06,∞
Linked_ForEach/size_10000-32,1.0489500000000002e-05,∞
DoublyLinked_Get/size_10-32,2.0720000000000003e-09,∞
DoublyLinked_Get/size_100-32,8.7485e-09,∞
DoublyLinked_Get/size_1000-32,1.7010000000000002e-07,∞
DoublyLinked_Get/size_10000-32,2.3015e-06,∞
DoublyLinked_Push/size_10-32,7.671e-08,∞
DoublyLinked_Push/size_100-32,7.7265e-08,∞
DoublyLinked_Push/size_1000-32,8.679e-08,∞
DoublyLinked_Filter/size_10-32,6.922000000000001e-08,∞
